variant,attack,intensity,mean,q05,auc,eer,semantic_ratio,coordinate_ratio,tar_at_far5,tar_at_far1
Separation,relation_delete,0.2,0.8860015869140625,0.784521484375,0.9936639694940477,0.046999007936507936,0.820156847567799,0.9247790880487524,0.921875,0.921875
Separation,relation_delete,0.4,0.83111572265625,0.717236328125,0.9774499317956349,0.07800099206349206,0.6394001175014663,0.8465056205414287,0.703125,0.640625
Separation,relation_delete,0.6,0.772064208984375,0.65673828125,0.9434485057043651,0.12177579365079365,0.4649232145596585,0.7796473833961342,0.375,0.265625
Separation,relation_delete,0.8,0.68316650390625,0.542578125,0.7970338851686508,0.26500496031746035,0.28416648449332577,0.6991408307007169,0.09375,0.046875
Separation,relation_delete,1.0,0.5335540771484375,0.421826171875,0.3489777095734127,0.6365327380952381,0.10432333206112482,0.6240324313823493,0.0,0.0
Separation,semantic_relabel,0.1,0.8538665771484375,0.735302734375,0.9837588355654762,0.06225198412698413,1.0,1.0,0.78125,0.703125
Separation,semantic_relabel,0.2,0.8084564208984375,0.681005859375,0.9644484747023809,0.09449404761904762,1.0,1.0,0.59375,0.5
Separation,semantic_relabel,0.4,0.7527313232421875,0.639794921875,0.9115707155257936,0.1685267857142857,1.0,1.0,0.359375,0.296875
Separation,semantic_relabel,0.6,0.709930419921875,0.57548828125,0.8429478236607143,0.25024801587301587,1.0,1.0,0.21875,0.171875
Separation,semantic_relabel,0.8,0.6715087890625,0.53115234375,0.7440088665674603,0.34375,1.0,1.0,0.203125,0.125
Separation,spatial_crop,0.1,0.888153076171875,0.6977539062500001,0.9744698660714286,0.06225198412698413,0.8662131104953742,0.8760291053938052,0.875,0.859375
Separation,spatial_crop,0.2,0.83270263671875,0.64052734375,0.9538302951388888,0.12475198412698413,0.7483020882274379,0.7562618214454362,0.75,0.703125
Separation,spatial_crop,0.4,0.7703399658203125,0.568603515625,0.8906017485119048,0.17100694444444445,0.628249458773541,0.6360402589422275,0.546875,0.375
Separation,spatial_crop,0.6,0.69281005859375,0.50439453125,0.7924107142857143,0.2787698412698413,0.37946461693197847,0.3928530803880419,0.1875,0.078125
Separation,spatial_crop,0.8,0.6476898193359375,0.477587890625,0.6925184461805556,0.34375,0.25745211516345107,0.27343028645661027,0.09375,0.0625
Separation,building_add,0.1,0.620819091796875,0.45625000000000004,0.5980243985615079,0.4195188492063492,1.112753954620896,1.1092552110722274,0.0625,0.0625
Separation,building_add,0.2,0.50201416015625,0.384912109375,0.22691514756944445,0.7214781746031746,1.235146569154337,1.2428552629054674,0.03125,0.03125
Separation,building_add,0.4,0.4728546142578125,0.393896484375,0.14157831101190477,0.7977430555555556,1.3529594738454802,1.359155305628676,0.0,0.0
Separation,building_add,0.6,0.4504547119140625,0.37236328125,0.1001557849702381,0.8282490079365079,1.602744880364446,1.6127284781324402,0.0,0.0
Separation,building_add,0.8,0.447662353515625,0.3755859375,0.08716595362103174,0.8432539682539683,1.7384664096254105,1.7416370629509252,0.0,0.0
Separation,id_rename,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Separation,object_reorder,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Separation,coordinate_unit,0.001,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Separation,coordinate_unit,1000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Separation,cityjson_roundtrip,1.0,0.6774139404296875,0.444091796875,0.6712123325892857,0.42125496031746035,2.9233608419256907,0.7519351372353013,0.34375,0.28125
Personalized,object_delete,0.05,0.8794403076171875,0.7259765625,0.9930516803075397,0.015749007936507936,0.9187426570873319,0.9308666451982709,0.953125,0.953125
Personalized,object_delete,0.1,0.82904052734375,0.66435546875,0.9968494233630952,0.03125,0.8292929046268586,0.8503485500148056,0.875,0.859375
Personalized,object_delete,0.2,0.7481842041015625,0.485205078125,0.9385579427083334,0.09325396825396826,0.6451507697493791,0.6779489781015271,0.78125,0.6875
Personalized,object_delete,0.3,0.646484375,0.452587890625,0.8655676463293651,0.16803075396825395,0.4303238855331095,0.4689029969566691,0.40625,0.34375
Personalized,object_delete,0.4,0.61083984375,0.42431640625,0.8403901599702381,0.20399305555555555,0.31933665404631384,0.35295113061950534,0.25,0.21875
Personalized,object_delete,0.5,0.5981292724609375,0.41591796875,0.8306632874503969,0.20399305555555555,0.23832233894271973,0.27007997541883144,0.15625,0.125
Personalized,object_delete,0.6,0.556671142578125,0.415478515625,0.7616993737599206,0.29526289682539686,0.16671210022937505,0.19886243869915815,0.0625,0.03125
Personalized,object_delete,0.7,0.5249176025390625,0.4099609375,0.6583426339285714,0.3607390873015873,0.1068232767304201,0.12729001113146612,0.0,0.0
Personalized,object_delete,0.8,0.4083709716796875,0.0,0.47017996651785715,0.4957837301587301,0.043130154965117365,0.060114025411386475,0.015625,0.0
Personalized,building_delete,0.1,0.86065673828125,0.584619140625,0.9810887896825397,0.04625496031746032,0.8736052582757571,0.8740789744577266,0.875,0.875
Personalized,building_delete,0.2,0.761444091796875,0.490625,0.9425223214285714,0.09325396825396826,0.7384664096254107,0.7416370629509254,0.703125,0.671875
Personalized,building_delete,0.4,0.6899871826171875,0.4828125,0.9190266927083334,0.125,0.6200193376820656,0.6248562708553731,0.5,0.46875
Personalized,building_delete,0.6,0.596588134765625,0.466259765625,0.8212115575396826,0.2547123015873016,0.3715438538002049,0.3866924749646607,0.234375,0.15625
Personalized,building_delete,0.8,0.563507080078125,0.44731445312499996,0.790589347718254,0.251984126984127,0.24020551922458416,0.24990009455644877,0.0625,0.0625
Personalized,surface_delete,0.1,0.8759918212890625,0.713134765625,0.9999922495039683,0.000248015873015873,0.913213684290898,0.9235543232796427,0.96875,0.9375
Personalized,surface_delete,0.2,0.800872802734375,0.6029296875,0.9974810887896826,0.03125,0.820156847567799,0.843683421799713,0.859375,0.828125
Personalized,surface_delete,0.4,0.71527099609375,0.55771484375,0.9647274925595238,0.06324404761904762,0.6394001175014663,0.7053756212499798,0.578125,0.5
Personalized,surface_delete,0.6,0.644500732421875,0.51875,0.9493272569444444,0.09672619047619048,0.4649232145596585,0.5630364854380938,0.3125,0.203125
Personalized,surface_delete,0.8,0.5641937255859375,0.47197265625,0.8192506820436508,0.26525297619047616,0.28416648449332577,0.40911048200871836,0.03125,0.03125
Personalized,attribute_delete,0.1,0.997406005859375,0.993310546875,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,attribute_delete,0.2,0.99481201171875,0.9873046875,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,attribute_delete,0.4,0.9881591796875,0.9755859375,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,attribute_delete,0.6,0.97918701171875,0.9604003906249999,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,attribute_delete,0.8,0.962066650390625,0.92607421875,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,quantization,0.001,0.936767578125,0.87255859375,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,quantization,0.005,0.9288787841796875,0.865380859375,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,quantization,0.01,0.9145660400390625,0.8379394531250001,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,quantization,0.02,0.8915252685546875,0.803515625,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,quantization,0.05,0.8477325439453125,0.7578125,0.9999922495039683,0.000248015873015873,1.0,1.0,0.984375,0.984375
Personalized,rotation_z,30.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
